Name,Established,Area (km2),Population_1991,Population_2001,Population_2011,Population_2022
Barguna,1984,1831,805000,887376,927889,1035596
Barishal,1797,2785,2299000,2465249,2414729,2634203
Bhola,1984,3403,1532000,1781043,1846351,1980452
Jhalokati,1984,707,694000,726182,709914,677559
Patuakhali,1969,3221,1323000,1527628,1596223,1770096
Pirojpur,1984,1278,1104000,1161548,1157215,1227915
Bandarban,1981,4496,246000,311741,404091,495252
Brahmanbaria,1984,1881,2268000,2509383,2953208,3403786
Chandpur,1984,1645,2150000,2377088,2513838,2713247
Chattogram,1666,5282,5744000,7009504,7913366,9439076
Cox's Bazar,1984,2492,1502000,1856151,2381814,2906281
Cumilla,1790,3146,4264000,4807649,5602624,6394875
Feni,1984,990,1158000,1297987,1496139,1697379
Khagrachhari,1983,2749,366000,549134,638967,735116
Lakshmipur,1984,1440,1391000,1558618,1797761,1994930
Noakhali,1821,3686,2346000,2696453,3231832,3732042
Rangamati,1983,6116,430000,531489,620215,666627
Dhaka,1772,1464,6164000,9151343,12517360,15210851
Faridpur,1815,2053,1559000,1837631,1988695,2232772
Gazipur,1984,1806,1683000,2142179,3548115,5433538
Gopalganj,1984,1469,1097000,1218789,1218319,1336907
Kishoreganj,1984,2689,2388000,2714721,3028706,3373219
Madaripur,1984,1126,1106000,1199374,1212199,1334811
Manikganj,1984,1384,1216000,1343468,1447301,1608372
Munshiganj,1984,1004,1229000,1353615,1502449,1677941
Narayanganj,1984,684,1819000,2289797,3074078,4035461
Narsingdi,1984,1150,1710000,1983571,2314889,2667968
Rajbari,1984,1092,866000,996147,1091263,1228267
Shariatpur,1984,1174,986000,1132535,1201464,1336396
Tangail,1969,3414,3108000,3443497,3749086,4168083
Jamalpur,1978,2115,1943000,2205766,2384811,2583984
Mymensingh,1787,4395,4097000,4696966,5313163,6097814
Netrakona,1984,2794,1791000,2079716,2317190,2403205
Sherpur,1984,1365,1179000,1338834,1412601,1552469
Bagerhat,1984,3959,1489000,1620216,1534012,1649874
Chuadanga,1984,1174,843000,1053936,1174836,1262205
Jessore,1781,2607,2193000,2586771,2876380,3146317
Jhenaidah,1984,1965,1420000,1653843,1842573,2051607
Khulna,1882,4394,2131000,2520962,2407679,2673002
Kushtia,1947,1609,1562000,1820554,2023657,2198731
Magura,1984,1039,752000,862777,954804,1056683
Meherpur,1984,752,511000,618466,681331,721447
Narail,1984,968,682000,730568,750425,806662
Satkhira,1984,3817,1660000,1950557,2063610,2246691
Bogra,1821,2899,2799000,3151389,3539293,3815192
Chapai Nawabganj,1984,1703,1231000,1492192,1714249,1875290
Jaipurhat,1983,1012,802000,885909,950440,977150
Naogaon,1984,3436,2251000,2500932,2701906,2844921
Natore,1984,1900,1455000,1591944,1774832,1900213
Pabna,1832,2376,2017000,2278141,2624683,2972654
Rajshahi,1772,2425,1988000,2410086,2699688,2978156
Sirajganj,1984,2402,2374000,2818739,3220812,3430443
Dinajpur,1786,3444,2371000,2765797,3109626,3392251
Gaibandha,1984,2115,2041000,2235559,2471680,2621756
Kurigram,1984,2245,1680000,1873185,2150974,2383268
Lalmonirhat,1984,1247,999000,1160226,1305248,1461589
Nilphamari,1984,1547,1416000,1644500,1907497,2141180
Panchagarh,1984,1405,746000,874428,1026139,1207252
Rangpur,1772,2401,2271000,2660727,2996334,3243247
Thakurgaon,1984,1782,1059000,1270081,1444783,1569529
Habiganj,1984,2637,1612000,1838683,2171065,2440151
Moulvibazar,1984,2799,1454000,1686631,1994252,2196601
Sunamganj,1984,3747,1802000,2107281,2564540,2788358
Sylhet,1782,3452,2282000,2675346,3567139,3990003
